name,year,genre,rating,director,votes
Pet Sematary,1989,Fantasy/Horror/Thriller,6.5,Mary Lambert,109162
The Final Girls,2015,Comedy/Fantasy/Horror,6.5,Todd Strauss-Schulson,"48,852"
Arachnophobia,1990,Comedy/Horror/Thriller,6.5,Frank Marshall,"72,630"
The Crazies,2010,Horror/Thriller,6.5,Breck Eisner,125273
His House,2020,Drama/Horror/Thriller,6.5,Remi Weekes,"45,081"
The Skeleton Key,2005,Drama/Horror/Mystery,6.5,Iain Softley,118968
Better Watch Out II,2016,Comedy/Horror/Thriller,6.5,Chris Peckover,"42,119"
The Exorcist III,1990,Drama/Horror/Mystery,6.5,William Peter Blatty,"34,521"
The Witches of Eastwick,1987,Comedy/Fantasy/Horror,6.5,George Miller,"73,547"
Halloween II,1981,Horror,6.5,Rick Rosenthal,"96,004"
Flatliners,1990,Drama/Horror/Sci-Fi,6.5,Joel Schumacher,"90,146"
Dead End I,2003,Adventure/Horror/Mystery,6.5,Jean-Baptiste Andrea,"30,416"
Byzantium,2012,Drama/Fantasy/Horror,6.5,Neil Jordan,"44,832"
Time Lapse,2014,Horror/Mystery/Sci-Fi,6.5,Bradley King,"47,416"
Bad Taste,1987,Comedy/Horror/Sci-Fi,6.5,Peter Jackson,"48,108"
Pontypool,2008,Horror/Sci-Fi,6.5,Bruce McDonald,"33,734"
[Rec]2,2009,Horror/Thriller,6.5,Jaume Balaguer¨®,"75,857"
Sightseers,2012,Adventure/Comedy/Crime,6.5,Ben Wheatley,"29,544"
Renfield,2023,Comedy/Fantasy/Horror,6.4,Chris McKay,"47,540"
M3GAN,2022,Horror/Sci-Fi/Thriller,6.4,Gerard Johnstone,106598
Alien: Covenant,2017,Horror/Sci-Fi/Thriller,6.4,Ridley Scott,290465
Escape Room I,2019,Action/Adventure/Horror,6.4,Adam Robitel,131872
Friday the 13th,1980,Horror/Mystery/Thriller,6.4,Sean S. Cunningham,146665
The Craft,1996,Drama/Fantasy/Horror,6.4,Andrew Fleming,"99,986"
The Hills Have Eyes,2006,Horror/Thriller,6.4,Alexandre Aja,177032
Alien3,1992,Action/Horror/Sci-Fi,6.4,David Fincher,308197
A Cure for Wellness,2016,Drama/Fantasy/Horror,6.4,Gore Verbinski,104306
The Cell,2000,Crime/Horror/Sci-Fi,6.4,Tarsem Singh,105734
Revenge II,2017,Action/Drama/Horror,6.4,Coralie Fargeat,"45,825"
Fright Night,2011,Comedy/Horror,6.4,Craig Gillespie,109829
Twilight Zone: The Movie,1983,Horror/Sci-Fi,6.4,Joe Dante,"39,519"
Incident in a Ghostland,2018,Drama/Horror/Mystery,6.4,Pascal Laugier,"35,958"
The Purge: Anarchy,2014,Action/Horror/Sci-Fi,6.4,James DeMonaco,156986
Gremlins 2: The New Batch,1990,Comedy/Fantasy/Horror,6.4,Joe Dante,108188
Black Death,2010,Action/Drama/History,6.4,Christopher Smith,"49,744"
The People Under the Stairs,1991,Comedy/Horror/Mystery,6.4,Wes Craven,"37,305"
Horns,2013,Comedy/Crime/Drama,6.4,Alexandre Aja,"85,762"
